,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
12754,C8orf34,-1.391088117,-0.476213809,6.551679621,0.100952373,0.285556925,0,0
12755,GVQW3,1.1468664,0.19769734,3.073004327,0.27753444,0.508860309,0,0
12756,TJAP1,-1.038753463,-0.054853287,4.884297162,0.531748188,0.733152669,0,0
12757,TMEM231,-1.161792582,-0.216352524,3.556513508,0.225946856,0.452534372,0,0
12758,TMEM232,-1.138470194,-0.187096521,5.623132007,0.465663456,0.68287179,0,0
12759,UBE2W,1.107615574,0.147457245,7.558764905,0.116799211,0.309866504,0,0
12760,TMEM234,-1.134294434,-0.181795176,2.821231414,0.09782136,0.280514842,0,0
12761,LOC100509620,-1.445583796,-0.531652239,0.752134686,0.143268554,0.348308852,0,0
12762,TMEM235,1.633479253,0.707948131,-1.879938583,0.114146373,0.305862127,0,0
12763,TMEM236,1.033769804,0.047914968,2.253266514,0.846283793,0.933820623,0,0
12764,TMEM237,1.218650022,0.285283865,4.843356484,0.099319271,0.282882566,0,0
12765,LOC107985950,1.533311049,0.616650394,0.301878725,0.349434805,0.579986704,0,0
12766,UBE2T,1.450494654,0.536544978,3.16308947,0.023529366,0.122921828,0,0
12767,LOC730183,-1.212320837,-0.277771554,0.573963442,0.067136393,0.22543694,0,0
12768,UBE2U,-1.611795378,-0.688668601,1.555814462,0.13054272,0.330764426,0,0
12769,MANSC4,1.240792634,0.311262027,0.352791157,0.144425334,0.350279569,0,0
12770,BHLHE40,1.05837578,0.081851953,7.474141374,0.62958472,0.800766983,0,0
12771,UBE2N,1.374806046,0.459228101,5.305218987,0.004052933,0.045831279,0,0
12772,UBE2O,1.08381218,0.116114766,6.000293254,0.253113934,0.482322291,0,0
12773,LOC107985953,1.780256115,0.832084809,0.365190469,0.104538452,0.291229939,0,0
12774,LOC107984622,2.525726005,1.336698142,0.457631451,0.208756145,0.431880652,0,0
12775,TROAP-AS1,1.258274241,0.331446392,-0.096210245,0.403644434,0.628258411,0,0
12776,LOC107985959,-1.352457841,-0.435583623,-1.175777258,0.212010399,0.435741626,0,0
12777,MXD1,-1.121309376,-0.165184381,5.008512539,0.44808775,0.668598984,0,0
12778,IL7R,1.103249508,0.141759104,6.558267811,0.556372287,0.750609215,1.0,1.0
12779,UBE2K,1.103372451,0.141919865,7.945811825,0.103097242,0.288868038,0,0
12780,MXD3,-1.1469101,-0.19775231,2.491225185,0.161893042,0.373912304,0,0
12781,LOC107984626,1.272053088,0.347158882,2.165624681,0.369292054,0.597257196,0,0
12782,MXD4,-1.070701069,-0.098555748,4.978787521,0.434873576,0.65570859,0,0
12783,FBN1,1.064539594,0.09022961,7.821856685,0.707816839,0.853193652,0,0
12784,RERE,-1.275477392,-0.351037327,9.233591043,0.000437904,0.011946008,0,0
12785,PHTF2,-1.005070413,-0.007296577,7.113958212,0.933318348,0.974005101,0,0
12786,LOC107985917,-1.07099747,-0.098955072,2.985583423,0.636475303,0.805609505,0,0
12787,RERG,-1.269979184,-0.34480485,5.102948476,0.116073249,0.308893529,0,0
12788,PHTF1,-1.020353379,-0.029068887,5.586932733,0.752269904,0.880220135,0,0
12789,TMEM220,1.017319449,0.024772772,3.346334346,0.893915986,0.955307201,0,0
12790,TMEM222,-1.018879001,-0.026982731,4.232947618,0.792090091,0.902053193,0,0
12791,TMEM223,1.24744902,0.318980857,0.445408035,0.11390052,0.305692388,0,0
12792,RASGEF1A,1.174589503,0.23215665,3.864796224,0.379066891,0.606215443,0,0
12793,LOC112268471,-1.143628212,-0.193618115,-1.297798464,0.630701031,0.801722797,0,0
12794,MAN1A2,-1.052542828,-0.073878938,8.013662076,0.372357365,0.600308917,0,0
12795,RASGEF1B,-1.018386789,-0.026285609,6.544007659,0.86852245,0.944157938,0,0
12796,RASGEF1C,1.313822785,0.39377069,1.00949887,0.223028998,0.449466835,0,0
12797,LOC107985922,-1.433687872,-0.519730969,-1.037614918,0.0363616,0.156743399,0,0
12798,DACT2,1.167108704,0.22293894,2.306179513,0.623427486,0.796976701,0,0
12799,MAN1A1,1.141405117,0.190810936,7.703743002,0.247650075,0.47616585,0,0
12800,LOC107985926,-1.377684756,-0.462245806,-0.201646941,0.123173184,0.319868597,0,0
12801,GRM7-AS3,1.404106937,0.489652816,2.53081814,0.332129406,0.563413721,0,0
12802,LOC105371097,1.005850745,0.008416244,-2.402862631,1.0,1.0,0,0
12803,ARFGEF3,-1.537611088,-0.620690645,7.727512602,0.005020143,0.051471428,0,0
12804,GET4,-1.236920332,-0.306752582,5.067764129,0.030470026,0.141905288,0,0
12805,DACT1,1.09767398,0.134449623,3.080040313,0.586795905,0.771832258,1.0,0
12806,UBR5-DT,-1.001470126,-0.002119386,2.978321695,0.971640401,0.991861594,0,0
12807,GREM2,1.020351151,0.029065737,2.920606591,0.959103825,0.986332958,0,0
12808,TMEM212,1.14873608,0.20004738,0.806900585,0.731250095,0.866806075,0,0
12809,TMEM213,-1.982310791,-0.987183169,1.588366293,0.030059647,0.14097638,0,0
12810,C8orf58,1.090657734,0.125198431,1.363795257,0.451115508,0.670738425,0,0
12811,RER1,-1.073916312,-0.102881571,5.930569871,0.304040335,0.53591852,0,0
12812,TMEM214,1.0536961,0.075458835,5.473468348,0.501438745,0.710176064,0,0
12813,SETBP1,1.051436178,0.072361281,7.908553819,0.724555908,0.863165086,0,0
12814,TMEM215,1.964934075,0.97448091,-1.17346245,0.013762549,0.089715129,0,0
12815,DPPA3,-1.088214357,-0.121962768,-2.138352738,0.933180222,0.974005101,0,0
12816,TMEM216,1.204868434,0.26887562,2.753423172,0.068216112,0.227732154,0,0
12817,TMEM217,-1.235668163,-0.305291361,2.775433992,0.131081925,0.331569038,0,0
12818,LOC107984602,1.554086578,0.636066878,0.98916221,0.109864041,0.299420009,0,0
12819,TMEM218,1.054751056,0.076902532,3.962869046,0.420628894,0.643203824,0,0
12820,LOC107985933,-1.027186488,-0.03869813,-0.869829527,0.916705876,0.966347341,0,0
12821,LOC105371082,-1.078079868,-0.108464062,3.065695531,0.505612743,0.713674624,0,0
12822,TMEM219,-1.044356486,-0.062614253,5.337647321,0.629812911,0.80085644,0,0
12823,LOC107985931,2.484694282,1.313068353,-1.857748107,0.024515644,0.126169764,0,0
12824,DPPA5,5.744390443,2.522153812,-2.271966426,0.007225115,0.063341459,0,0
12825,LOC105371080,1.400875189,0.486328425,0.286598093,0.179162887,0.395779312,0,0
12826,MAN1B1,1.093387894,0.128805307,5.681778977,0.226639496,0.453104493,0,0
12827,FBP1,1.173739752,0.231112562,5.803298984,0.350258092,0.58067096,0,1.0
12828,FBP2,1.610605553,0.687603213,1.080021343,0.079524478,0.249775309,0,0
12829,LOC107984604,1.377662591,0.462222595,-1.909174036,0.384627969,0.61062546,0,0
12830,LOC107985934,1.133518612,0.18080808,-0.579231225,0.514292353,0.719926813,0,0
12831,FMNL1-DT,1.512980604,0.597393493,2.270150107,0.00236799,0.033669381,0,0
12832,RAP1GDS1,1.043174202,0.060980097,7.318263043,0.470307732,0.686756704,0,0
12833,C8orf82,-1.021295816,-0.0304008,1.349810636,0.838665896,0.928990988,0,0
12834,C8orf88,1.318328859,0.398710297,1.034277478,0.089758181,0.267637163,0,0
12835,C8orf86,1.330684949,0.412169041,-1.661621064,0.332715653,0.563684271,0,0
12836,TMEM201,-1.192102327,-0.253508078,3.479100068,0.070077451,0.231461562,0,0
12837,TMEM203,1.220998897,0.288061897,3.50679142,0.07143499,0.234185518,0,0
